,country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points,moisture,category_one_defects,category_two_defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,processing_method_Other,processing_method_Pulped natural / honey,processing_method_Semi-washed / Semi-pulped,processing_method_Washed / Wet,region
1252,Guatemala,7.08,6.92,6.33,7.0,6.92,7.0,10.0,10.0,10.0,6.17,77.42,0.11,2,15,1310.64,1310.64,1310.64,0,0,0,1,central_america_carib
1253,Brazil,7.5,7.33,7.42,7.58,7.58,6.92,8.0,8.0,10.0,7.0,77.33,0.0,0,3,890.0,890.0,890.0,0,0,0,0,south_america
1254,Guatemala,7.33,7.0,6.83,7.17,7.17,7.17,9.33,9.33,9.33,6.67,77.33,0.1,1,2,1219.2,1219.2,1219.2,0,0,0,1,central_america_carib
1255,Mexico,7.33,7.0,6.67,7.0,6.92,6.92,9.33,9.33,10.0,6.83,77.33,0.15,4,5,1500.0,1500.0,1500.0,0,0,0,1,north_america
1256,Haiti,6.83,6.83,6.83,6.75,6.92,6.92,9.33,10.0,10.0,6.83,77.25,0.1,0,1,400.0,1250.0,825.0,0,0,0,1,central_america_carib
1258,Mexico,7.08,7.0,7.0,7.25,7.33,7.25,8.67,8.67,10.0,6.92,77.17,0.12,1,11,1200.0,1200.0,1200.0,0,0,0,1,north_america
1259,Peru,7.42,7.75,7.42,7.67,7.92,7.83,8.67,5.33,9.33,7.67,77.0,0.0,7,9,900.0,1500.0,1200.0,0,0,0,1,south_america
1263,Mexico,7.17,6.58,6.58,7.0,7.25,6.58,9.33,9.33,10.0,6.58,76.42,0.13,0,14,1100.0,1100.0,1100.0,0,0,0,1,north_america
1264,Guatemala,7.5,7.0,6.83,7.5,7.17,7.33,8.67,8.67,8.67,7.0,76.33,0.11,0,8,1310.64,1310.64,1310.64,0,0,0,1,central_america_carib
1268,Mexico,7.42,7.0,6.83,7.08,6.92,6.83,7.33,10.0,10.0,6.75,76.17,0.16,2,4,1400.0,1400.0,1400.0,0,0,0,1,north_america
1269,Indonesia,7.33,7.0,6.5,6.08,7.58,6.33,9.33,10.0,9.33,6.67,76.17,0.12,4,26,3500.0,3500.0,3500.0,0,0,0,0,southeast_asia
1270,Mexico,7.08,6.83,6.83,7.17,7.17,7.08,10.0,7.33,10.0,6.58,76.08,0.12,0,12,1250.0,1250.0,1250.0,0,0,0,1,north_america
