,country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points,moisture,category_one_defects,category_two_defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,processing_method_Other,processing_method_Pulped natural / honey,processing_method_Semi-washed / Semi-pulped,processing_method_Washed / Wet,region
113,Brazil,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,84.92,0.12,0,2,1000.0,1000.0,1000.0,0,0,0,0,south_america
115,Taiwan,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,8.0,84.83,0.0,0,0,350.0,350.0,350.0,0,0,0,0,asia
116,Uganda,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,7.83,84.83,0.12,0,1,1400.0,1900.0,1650.0,0,0,0,0,africa
121,Kenya,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,7.92,84.75,0.13,0,0,1800.0,1800.0,1800.0,0,0,0,1,africa
122,Honduras,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,8.17,84.75,0.11,0,4,1450.0,1450.0,1450.0,0,0,0,1,central_america_carib
125,El Salvador,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,8.0,84.67,0.0,0,2,1350.0,1350.0,1350.0,0,0,0,1,central_america_carib
126,Indonesia,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,84.67,0.12,0,7,1200.0,1200.0,1200.0,0,0,0,1,southeast_asia
127,Japan,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,8.08,84.67,0.12,0,0,170.0,170.0,170.0,0,1,0,0,asia
128,Costa Rica,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,7.92,84.67,0.1,0,2,1150.0,1150.0,1150.0,0,0,0,1,central_america_carib
129,Guatemala,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,7.83,84.67,0.1,0,1,1600.0,1600.0,1600.0,0,0,0,1,central_america_carib
130,Costa Rica,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,7.92,84.67,0.12,0,0,1750.0,1750.0,1750.0,0,0,0,1,central_america_carib
131,Ethiopia,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,10.0,7.92,84.67,0.1,0,3,1900.0,1900.0,1900.0,0,0,0,1,africa
132,Costa Rica,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,7.67,84.67,0.08,0,1,1750.0,1750.0,1750.0,1,0,0,0,central_america_carib
133,Costa Rica,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,8.0,84.67,0.11,0,4,1200.0,1200.0,1200.0,0,0,0,1,central_america_carib
135,Taiwan,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.67,0.11,0,0,1000.0,1000.0,1000.0,0,0,0,1,asia
136,Colombia,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.92,84.67,0.0,0,0,1550.0,1550.0,1550.0,0,0,0,1,south_america
137,Kenya,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,10.0,7.83,84.67,0.11,0,0,2000.0,2000.0,2000.0,0,0,0,1,africa
139,Guatemala,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,7.67,84.67,0.11,0,4,1310.64,1310.64,1310.64,0,0,0,1,central_america_carib
140,Guatemala,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,10.0,8.0,84.67,0.12,0,4,1524.0,1524.0,1524.0,0,0,0,1,central_america_carib
141,Mexico,7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,10.0,7.92,84.67,0.13,0,3,1200.0,1200.0,1200.0,0,0,0,1,north_america
142,Uganda,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,10.0,7.83,84.67,0.11,0,3,1700.0,1850.0,1775.0,0,0,0,1,africa
145,Kenya,7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,10.0,7.83,84.58,0.11,0,5,1754.0,1754.0,1754.0,0,0,0,1,africa
146,Colombia,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,8.08,84.58,0.0,0,4,1500.0,1500.0,1500.0,0,0,0,1,south_america
148,Kenya,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,7.92,84.58,0.1,0,2,1800.0,1800.0,1800.0,0,0,0,1,africa
149,Guatemala,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,84.58,0.11,0,1,1524.0,1524.0,1524.0,0,0,0,1,central_america_carib
150,Guatemala,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,8.17,84.58,0.09,0,0,1219.2,1219.2,1219.2,0,0,0,1,central_america_carib
151,Colombia,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,10.0,7.83,84.58,0.0,0,0,1550.0,1550.0,1550.0,0,0,0,1,south_america
152,Colombia,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,10.0,7.92,84.58,0.0,0,5,1600.0,1900.0,1750.0,0,0,0,1,south_america
153,Colombia,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,7.75,84.58,0.0,0,2,1750.0,1750.0,1750.0,0,0,0,1,south_america
154,Costa Rica,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58,0.12,0,2,1450.0,1700.0,1575.0,0,0,1,0,central_america_carib
155,Colombia,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,8.08,84.58,0.11,0,6,1800.0,1800.0,1800.0,0,0,0,1,south_america
156,Brazil,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,84.58,0.12,0,2,1300.0,1300.0,1300.0,0,0,1,0,south_america
157,Brazil,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,84.58,0.11,0,1,1100.0,1100.0,1100.0,0,0,1,0,south_america
158,Costa Rica,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,8.0,84.5,0.1,0,2,1200.0,1200.0,1200.0,0,0,0,1,central_america_carib
159,Uganda,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.83,84.5,0.11,0,1,1750.0,1750.0,1750.0,0,0,0,1,africa
160,China,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.92,84.5,0.1,0,1,1680.0,1680.0,1680.0,0,0,0,1,asia
161,Costa Rica,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,84.5,0.11,0,0,1700.0,1700.0,1700.0,0,0,0,1,central_america_carib
162,Colombia,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.75,84.5,0.12,1,0,1800.0,1800.0,1800.0,0,0,0,1,south_america
163,China,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,84.5,0.0,0,2,1100.0,1100.0,1100.0,0,0,0,1,asia
164,Guatemala,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,7.5,84.5,0.11,0,2,1310.64,1310.64,1310.64,0,0,0,1,central_america_carib
165,Kenya,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,7.67,84.5,0.11,0,0,2000.0,2000.0,2000.0,0,0,0,1,africa
167,Mexico,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,7.92,84.5,0.12,0,0,1350.0,1350.0,1350.0,0,0,0,1,north_america
168,Mexico,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.67,84.5,0.11,0,4,1500.0,1500.0,1500.0,0,0,0,1,north_america
172,Costa Rica,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,7.92,84.42,0.1,0,3,1300.0,1300.0,1300.0,0,0,0,1,central_america_carib
173,Indonesia,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,8.0,84.42,0.0,0,3,1400.0,1400.0,1400.0,1,0,0,0,southeast_asia
175,Colombia,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,84.42,0.0,0,3,1600.0,1950.0,1775.0,0,0,0,1,south_america
176,Taiwan,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.75,84.42,0.11,0,0,1200.0,1200.0,1200.0,0,0,0,1,asia
178,Mexico,7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,10.0,7.83,84.42,0.12,2,4,900.0,900.0,900.0,0,0,0,1,north_america
180,Kenya,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,8.17,84.33,0.11,0,4,1800.0,1800.0,1800.0,0,0,0,1,africa
182,Honduras,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.83,84.33,0.11,0,2,1500.0,1500.0,1500.0,0,0,0,1,central_america_carib
184,Colombia,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,7.33,84.33,0.11,6,0,442.0,442.0,442.0,0,0,0,0,south_america
185,Colombia,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,8.17,84.33,0.0,0,0,1800.0,1800.0,1800.0,0,0,0,1,south_america
186,Mexico,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,7.83,84.33,0.12,0,1,1700.0,1700.0,1700.0,0,0,0,1,north_america
191,Taiwan,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,10.0,7.67,84.25,0.12,0,0,1000.0,1000.0,1000.0,0,0,0,1,asia
192,Thailand,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,8.0,84.25,0.12,0,0,1200.0,1200.0,1200.0,0,0,0,0,southeast_asia
193,Colombia,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,7.83,84.25,0.11,0,2,2560.0,2560.0,2560.0,0,0,0,0,south_america
194,Guatemala,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,7.75,84.25,0.11,0,4,1500.0,1500.0,1500.0,0,0,0,1,central_america_carib
195,Guatemala,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,7.75,84.25,0.1,0,1,1099.4136,1099.4136,1099.4136,0,0,0,1,central_america_carib
196,China,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.25,0.1,0,1,1400.0,1400.0,1400.0,0,0,0,0,asia
197,Colombia,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,10.0,7.83,84.25,0.11,0,3,1600.0,1950.0,1775.0,0,0,0,1,south_america
198,Colombia,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,10.0,7.75,84.25,0.12,4,2,1600.0,1950.0,1775.0,0,0,0,1,south_america
199,Colombia,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,10.0,7.83,84.25,0.12,0,0,1800.0,1800.0,1800.0,0,0,0,1,south_america
200,Colombia,7.42,7.67,7.83,7.75,7.92,7.83,10.0,10.0,10.0,7.83,84.25,0.12,3,0,442.0,442.0,442.0,0,0,0,0,south_america
201,"Tanzania, United Republic Of",7.83,7.67,7.75,7.83,7.67,7.67,10.0,10.0,10.0,7.83,84.25,0.12,0,7,1620.0,1620.0,1620.0,0,0,0,1,africa
202,"Tanzania, United Republic Of",7.83,7.75,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,84.25,0.12,0,2,1600.0,1600.0,1600.0,0,0,0,1,africa
203,Guatemala,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,10.0,7.83,84.25,0.1,0,1,1219.2,1219.2,1219.2,1,0,0,0,central_america_carib
204,Colombia,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,10.0,7.83,84.25,0.11,0,2,1700.0,1700.0,1700.0,0,0,0,1,south_america
206,Mexico,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,10.0,7.75,84.25,0.12,0,1,1450.0,1450.0,1450.0,0,0,1,0,north_america
207,Mexico,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,10.0,7.75,84.25,0.12,0,0,1170.0,1170.0,1170.0,0,0,0,1,north_america
208,Mexico,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,10.0,7.83,84.25,0.1,0,4,1400.0,1400.0,1400.0,0,0,0,1,north_america
209,Uganda,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,10.0,7.67,84.25,0.13,4,29,1700.0,1700.0,1700.0,0,0,0,0,africa
210,Guatemala,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,10.0,7.75,84.17,0.13,0,1,1700.0,1700.0,1700.0,0,0,0,1,central_america_carib
212,Costa Rica,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,10.0,8.0,84.17,0.09,0,2,1700.0,1700.0,1700.0,0,0,0,1,central_america_carib
213,Guatemala,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,10.0,7.58,84.17,0.11,0,6,1116.7872,1116.7872,1116.7872,0,0,0,1,central_america_carib
214,Guatemala,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,10.0,7.67,84.17,0.1,0,10,1565.0,1565.0,1565.0,0,0,0,1,central_america_carib
215,Guatemala,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,10.0,7.83,84.17,0.1,0,2,3280.0,3280.0,3280.0,0,0,0,1,central_america_carib
216,Colombia,8.0,7.5,7.5,7.67,8.0,7.83,10.0,10.0,10.0,7.67,84.17,0.0,0,0,1600.0,1950.0,1775.0,0,0,0,1,south_america
217,Nicaragua,7.67,7.83,7.83,7.5,7.67,7.83,10.0,10.0,10.0,7.83,84.17,0.12,0,0,900.0,1100.0,1000.0,0,0,0,0,central_america_carib
218,Brazil,7.67,7.75,7.75,7.67,7.83,7.75,10.0,10.0,10.0,7.75,84.17,0.0,0,16,1150.0,1150.0,1150.0,0,0,0,0,south_america
219,Costa Rica,7.67,7.75,7.67,7.75,7.5,8.0,10.0,10.0,10.0,7.83,84.17,0.0,0,0,1850.0,1850.0,1850.0,0,0,0,1,central_america_carib
220,Ethiopia,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,10.0,7.75,84.17,0.1,0,5,1545.0,1668.0,1606.5,0,0,0,0,africa
221,"Tanzania, United Republic Of",7.92,7.75,7.75,7.75,7.75,7.58,10.0,10.0,10.0,7.67,84.17,0.13,0,0,1400.0,1400.0,1400.0,0,0,0,1,africa
222,Colombia,7.67,7.5,7.67,7.42,7.83,8.58,10.0,10.0,10.0,7.5,84.17,0.12,0,4,1530.0,1530.0,1530.0,0,0,0,1,south_america
224,Kenya,7.58,7.75,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.75,84.17,0.08,0,0,1.0,500.0,250.5,0,0,0,1,africa
225,Brazil,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,10.0,7.67,84.17,0.11,0,3,894.0,1183.0,1038.5,0,0,0,0,south_america
226,Guatemala,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,10.0,7.42,84.17,0.11,0,4,1310.64,1310.64,1310.64,0,0,0,1,central_america_carib
227,El Salvador,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10.0,10.0,7.92,84.17,0.11,0,2,1500.0,1500.0,1500.0,0,0,0,0,central_america_carib
228,Colombia,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,10.0,7.58,84.17,0.0,0,2,1750.0,1750.0,1750.0,0,0,0,1,south_america
230,Uganda,7.83,7.75,7.5,7.83,7.83,7.75,10.0,10.0,10.0,7.67,84.17,0.11,0,1,1500.0,1700.0,1600.0,0,0,0,1,africa
232,Colombia,7.83,7.5,7.42,7.5,7.83,8.5,10.0,10.0,10.0,7.5,84.08,0.0,1,3,442.0,442.0,442.0,0,0,0,1,south_america
233,Taiwan,7.58,7.67,7.67,7.67,7.75,7.83,10.0,10.0,10.0,7.92,84.08,0.1,0,4,968.0,968.0,968.0,0,0,0,1,asia
235,Colombia,7.92,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,7.67,84.08,0.0,0,2,1600.0,1950.0,1775.0,0,0,0,1,south_america
236,Guatemala,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,10.0,7.67,84.08,0.1,0,10,1550.0,1550.0,1550.0,0,0,0,1,central_america_carib
239,Mexico,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.83,84.08,0.11,1,10,1480.0,1480.0,1480.0,0,0,0,1,north_america
240,Ethiopia,7.92,7.92,7.83,8.0,7.92,7.92,10.0,10.0,8.67,7.92,84.08,0.09,0,15,1800.0,1800.0,1800.0,0,0,0,0,africa
242,Ethiopia,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,10.0,7.92,84.0,0.11,3,1,1800.0,1800.0,1800.0,0,0,0,0,africa
243,Honduras,7.42,7.83,7.75,7.92,7.75,7.58,10.0,10.0,10.0,7.75,84.0,0.1,0,5,1500.0,1500.0,1500.0,0,0,0,1,central_america_carib
244,Guatemala,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,10.0,7.58,84.0,0.12,0,7,1658.112,1755.648,1706.88,0,0,0,1,central_america_carib
245,Colombia,7.67,7.67,7.83,7.58,7.58,7.83,10.0,10.0,10.0,7.83,84.0,0.11,2,7,1600.0,1600.0,1600.0,0,0,0,1,south_america
246,Guatemala,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,10.0,7.5,84.0,0.1,0,1,1219.2,1219.2,1219.2,0,0,0,0,central_america_carib
247,Guatemala,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.83,84.0,0.1,0,0,1219.2,1219.2,1219.2,1,0,0,0,central_america_carib
248,Colombia,7.67,7.75,7.67,7.67,7.67,7.75,10.0,10.0,10.0,7.83,84.0,0.12,0,0,1480.0,1480.0,1480.0,0,0,0,1,south_america
249,Colombia,7.58,7.42,7.75,7.92,7.75,7.92,10.0,10.0,10.0,7.67,84.0,0.12,0,0,1450.0,1450.0,1450.0,0,0,0,0,south_america
250,Colombia,7.67,7.67,7.5,7.5,7.67,7.67,10.0,10.0,10.0,8.33,84.0,0.12,0,3,1600.0,1950.0,1775.0,0,0,0,1,south_america
251,Ethiopia,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,10.0,7.83,84.0,0.09,4,40,1550.0,1550.0,1550.0,0,0,0,0,africa
252,Brazil,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,10.0,7.92,84.0,0.1,0,0,1260.0,1260.0,1260.0,0,0,0,0,south_america
253,Colombia,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.67,84.0,0.11,0,1,1700.0,1700.0,1700.0,0,0,0,1,south_america
254,Kenya,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,10.0,7.67,84.0,0.0,0,2,1200.0,1200.0,1200.0,0,0,0,1,africa
256,Kenya,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,10.0,7.67,84.0,0.0,0,0,1650.0,1650.0,1650.0,0,0,0,1,africa
257,Uganda,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,10.0,7.58,84.0,0.1,10,26,1700.0,1700.0,1700.0,0,0,0,1,africa
259,Brazil,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,10.0,8.5,83.92,0.0,0,3,890.0,890.0,890.0,0,0,0,0,south_america
260,Mexico,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,10.0,7.83,83.92,0.11,0,5,1300.0,1300.0,1300.0,0,0,0,1,north_america
261,Thailand,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,10.0,7.83,83.92,0.1,0,1,1350.0,1350.0,1350.0,0,0,0,0,southeast_asia
262,Brazil,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,7.83,83.92,0.11,0,7,934.0,934.0,934.0,0,0,0,0,south_america
263,Taiwan,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10.0,10.0,7.83,83.92,0.11,0,3,1200.0,1200.0,1200.0,0,0,0,1,asia
269,Colombia,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,10.0,7.58,83.92,0.0,0,1,1600.0,1950.0,1775.0,0,0,0,1,south_america
270,Taiwan,8.0,7.92,7.92,7.92,7.67,7.33,10.0,10.0,10.0,7.17,83.92,0.06,0,0,950.0,950.0,950.0,0,0,0,1,asia
271,Colombia,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,10.0,7.5,83.92,0.12,0,3,1550.0,1550.0,1550.0,0,0,0,0,south_america
272,Mexico,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.67,83.92,0.12,10,32,900.0,900.0,900.0,0,0,0,1,north_america
273,Mexico,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,10.0,7.83,83.92,0.11,0,2,1500.0,1500.0,1500.0,0,0,0,1,north_america
274,Mexico,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,10.0,7.75,83.92,0.0,0,2,1400.0,1400.0,1400.0,0,0,0,1,north_america
275,Colombia,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,83.83,0.0,1,6,2527.0,2527.0,2527.0,0,0,0,1,south_america
277,Costa Rica,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,10.0,7.83,83.83,0.0,0,0,1850.0,1850.0,1850.0,0,0,0,1,central_america_carib
278,Guatemala,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,10.0,7.67,83.83,0.11,0,6,1500.0,1500.0,1500.0,0,0,0,1,central_america_carib
280,Brazil,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,10.0,8.0,83.83,0.0,0,0,1.0,1.0,1.0,0,0,0,0,south_america
281,Taiwan,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,10.0,7.83,83.83,0.0,0,1,480.0,570.0,525.0,0,0,0,1,asia
282,Ethiopia,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,7.75,83.83,0.12,0,4,1650.0,1703.0,1676.5,0,0,0,0,africa
283,Brazil,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,8.08,83.83,0.0,0,1,1200.0,1200.0,1200.0,0,0,1,0,south_america
284,Costa Rica,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,10.0,7.67,83.83,0.1,0,3,1200.0,1400.0,1300.0,0,0,0,1,central_america_carib
285,Guatemala,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,10.0,7.75,83.83,0.1,0,1,1219.2,1219.2,1219.2,0,0,0,1,central_america_carib
286,Brazil,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,7.75,83.83,0.1,0,0,1260.0,1260.0,1260.0,0,0,0,0,south_america
287,Ecuador,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,10.0,7.67,83.83,0.09,0,0,800.0,800.0,800.0,0,0,0,0,south_america
288,Colombia,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,7.92,83.83,0.11,0,1,1750.0,1750.0,1750.0,0,0,0,1,south_america
289,Guatemala,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,7.67,83.83,0.11,0,3,1310.64,1310.64,1310.64,0,0,0,1,central_america_carib
290,Mexico,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,10.0,7.92,83.83,0.1,0,2,1218.0,1218.0,1218.0,0,0,0,0,north_america
291,Mexico,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.83,83.83,0.11,0,4,1300.0,1300.0,1300.0,0,0,0,0,north_america
292,Brazil,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.83,83.83,0.12,0,3,1250.0,1250.0,1250.0,0,0,1,0,south_america
296,Kenya,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,10.0,7.83,83.75,0.11,0,2,1800.0,1800.0,1800.0,0,0,0,1,africa
297,Brazil,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.75,83.75,0.11,0,5,890.0,890.0,890.0,0,0,0,0,south_america
298,Colombia,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,10.0,7.75,83.75,0.11,0,1,442.0,442.0,442.0,0,0,0,1,south_america
299,Taiwan,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,10.0,7.75,83.75,0.0,0,0,750.0,750.0,750.0,0,0,0,0,asia
301,China,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,10.0,7.75,83.75,0.1,0,2,1650.0,1650.0,1650.0,0,0,0,1,asia
302,Colombia,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,10.0,7.75,83.75,0.0,0,0,442.0,442.0,442.0,0,0,0,0,south_america
303,Uganda,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,10.0,7.67,83.75,0.12,0,0,1400.0,1400.0,1400.0,0,0,0,0,africa
304,United States (Puerto Rico),7.83,7.83,7.83,7.67,8.0,8.17,9.33,9.33,10.0,7.75,83.75,0.12,0,1,853.44,853.44,853.44,0,0,0,1,central_america_carib
305,Colombia,7.67,7.67,7.67,7.92,7.5,7.67,10.0,10.0,10.0,7.67,83.75,0.0,0,5,1600.0,1950.0,1775.0,0,0,0,1,south_america
306,Colombia,7.67,7.42,7.42,7.42,8.0,8.33,10.0,10.0,10.0,7.5,83.75,0.0,0,3,1500.0,1600.0,1550.0,0,0,0,1,south_america
307,Colombia,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,10.0,7.75,83.75,0.0,0,1,1750.0,1750.0,1750.0,0,0,0,1,south_america
308,Colombia,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,10.0,7.58,83.75,0.11,0,3,1750.0,1750.0,1750.0,0,0,0,1,south_america
310,Mexico,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,10.0,7.83,83.75,0.13,5,5,700.0,700.0,700.0,0,0,0,0,north_america
311,Guatemala,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,10.0,7.75,83.75,0.11,0,1,1300.0,1300.0,1300.0,0,0,0,1,central_america_carib
315,Brazil,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,10.0,7.83,83.67,0.11,0,2,890.0,890.0,890.0,0,0,0,0,south_america
316,Kenya,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,10.0,7.75,83.67,0.11,0,0,1700.0,1700.0,1700.0,0,0,0,1,africa
317,Honduras,7.5,7.5,7.67,7.67,8.0,8.0,10.0,10.0,10.0,7.33,83.67,0.1,0,2,1400.0,1400.0,1400.0,0,0,0,1,central_america_carib
318,Nicaragua,7.67,7.75,7.67,7.67,7.83,7.58,10.0,10.0,10.0,7.5,83.67,0.1,0,3,1250.0,1250.0,1250.0,0,0,0,1,central_america_carib
319,Brazil,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.83,83.67,0.11,0,3,934.0,934.0,934.0,0,0,0,0,south_america
320,Taiwan,7.5,7.67,7.33,7.92,7.83,7.67,10.0,10.0,10.0,7.75,83.67,0.1,0,0,1200.0,1200.0,1200.0,0,0,0,0,asia
321,Thailand,7.5,7.75,7.58,7.83,7.67,7.58,10.0,10.0,10.0,7.75,83.67,0.12,0,0,800.0,800.0,800.0,0,0,0,1,southeast_asia
322,Colombia,7.5,7.75,7.5,7.75,7.67,7.67,10.0,10.0,10.0,7.83,83.67,0.11,0,4,1550.0,1700.0,1625.0,0,0,0,1,south_america
